DANH SÁCH THÍ SINH THAM GIA VÒNG CHUNG KẾT

HỘI THI BÍ THƯ ĐOÀN CƠ SỞ GIỎI TOÀN QUỐC LẦN THỨ I, NĂM 2023

| STT | Đơn vị | Họ và tên thí sinh | Chức vụ, đơn vị công tác |
|  |  |  |  |
| 1 | Điện Biên | Nguyễn Anh Sơn | Bí thư Đoàn xã Thanh Luông, huyện Điện Biên, tỉnh Điện Biên |
| 2 | Lai Châu | Bùi Thị Hồng Khánh | Bí thư Đoàn xã Bình Lư, huyện Tam Đường, tỉnh Lai Châu |
| 3 | Sơn La | Tòng Thị Hòa | Bí thư Đoàn xã Mường Và, huyện Sốp Cộp, tỉnh Sơn La |
| 4 | Hòa Bình | Nguyễn Thị Mai Linh | Bí thư Đoàn phường Thái Bình, thành phố Hòa Bình, tỉnh Hòa Bình |
| 5 | Yên Bái | Hoàng Tuấn Linh | Bí Thư đoàn Sở Y tế tỉnh Yên Bái |
| 6 | Lào Cai | Vũ Thị Minh Thuỳ | Bí thư Đoàn xã Tân Thượng, huyện Văn Bàn, tỉnh Lào Cai |
| 7 | Hà Giang | Đặng Thị Hương | Bí thư Đoàn xã Thanh Thuỷ, huyện Vị Xuyên, tỉnh Hà Giang |
| 8 | Tuyên Quang | Trần Hoài Nam | Bí thư Đoàn xã Thái Long, thành phố Tuyên Quang |
| 9 | Bắc Kạn | Bế Thị Châm | Bí thư Đoàn thị trấn Vân Tùng, huyện Ngân Sơn, tỉnh Bắc Kạn |
| 10 | Lạng Sơn | Ngô Đình Vinh | Bí thư Đoàn cơ sở Sở Lao động Thương binh và xã hội tỉnh Lạng Sơn, Đoàn Khối CCQ tỉnh |
| 11 | Cao Bằng | Lý Thị Mừng | Bí thư Đoàn thị trấn Tà Lùng, huyện Quảng Hòa, tỉnh Cao Bằng |
| 12 | Thái Nguyên | Đoàn Đình Khánh | Bí thư đoàn phường túc duyên, thành phố thái nguyên |
| 13 | Bắc Giang | Trần Kim Anh | Bí thư Đoàn xã Đồng Sơn, thành phố Bắc Giang, tỉnh Bắc Giang |
| 14 | Bắc Ninh | Nguyễn Quốc Mạnh | Bí thư Đoàn phường Tiền An, thành phố Bắc Ninh, tỉnh Bắc Ninh |
| 15 | Vĩnh Phúc | Hoàng Lan Anh | Bí thư Đoàn xã Nguyệt Đức, huyện Yên Lạc, tỉnh Vĩnh Phúc |
| 16 | Phú Thọ | Lê Hùng Anh | Bí thư Đoàn xã Ca Đình, huyện Đoan Hùng, tỉnh Phú Thọ |
| 17 | Quảng Ninh | Đỗ Thái Sơn | Bí thư Đoàn phường Phương Nam, thành phố Uông Bí, tỉnh Quảng Ninh |
| 18 | Hà Nam | Lại Thị Cẩm Vân | Bí thư Đoàn TNCS Hồ Chí Minh phường Hai Bà Trưng, thành phố Phủ Lý, tỉnh Hà Nam. |
| 19 | Hà Nội | Đoàn Hùng Anh | Bí thư Đoàn trường Hữu Nghị T78, huyện Phúc Thọ |
| 20 | Hà Nội | Nguyễn Minh Anh | Bí thư Đoàn phường Quảng An, quận Tây Hồ, thành phố Hà Nội |
| 21 | Hải Dương | Đỗ Minh Nam | Bí thư Đoàn xã Gia Khánh, huyện Gia Lộc, tỉnh Hải Dương |
| 22 | Hải Phòng | Vũ Thị Hải Ngọc | Bí thư Đoàn phường Hàng Kênh, quận Lê Chân, thành phố Hải Phòng |
| 23 | Hưng Yên | Lều Thị Minh Trang | Bí thư Đoàn xã Liên Phương, thành phố Hưng Yên, tỉnh Hưng Yên |
| 24 | Nam Định | Phạm Thị Dịu | Bí thư đoàn xã Nghĩa Thịnh, huyện Nghĩa Hưng, Tỉnh Nam Định |
| 25 | Ninh Bình | Đàm Văn Nghị | Bí Thư đoàn xã Sơn Hà, huyện Nho Quan, tỉnh Ninh Bình |
| 26 | Thái Bình | Nguyễn Phú Tuấn Anh | Bí thư Đoàn thị trấn Quỳnh Côi, Huyện Quỳnh Phụ, Tỉnh Thái Bình |
| 27 | Thanh Hóa | Hà Văn Tuyên | Bí thư Đoàn xã Xuân Chinh, huyện Thường Xuân, tỉnh Thanh Hóa |
| 28 | Thanh Hóa | Hồ Thị Sâm | Bí thư Đoàn xã Nga Thái, huyện Nga Sơn, tỉnh Thanh Hóa |
| 29 | Nghệ An | Nguyễn Đắc Tuấn | Bí thư Đoàn phường Nghi Thủy, thị xã Cửa Lò, tỉnh Nghệ An |
| 30 | Nghệ An | Dương Thị Giang | Bí thư Đoàn thị trấn Con Cuông, huyện Con Cuông, tỉnh Nghệ An |
